trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.9900498337491681}",25,0,-128.3652238372199,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
2,False,"{'a': 0.7, 'e': 0.9801986733067553}",25,0,-197.42742021468987,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 4}",0
3,False,"{'a': 0.7, 'e': 0.9704455335485082}",25,13,-29.806697013479816,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
4,False,"{'a': 0.7, 'e': 0.9607894391523232}",25,0,-176.76237255841278,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
5,False,"{'a': 0.7, 'e': 0.951229424500714}",20,0,-84.37554178965361,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
6,False,"{'a': 0.7, 'e': 0.9417645335842487}",30,0,-77.986703830182,"{0: 19, 1: 1, 2: 10, 3: 0, 4: 0}",0
7,False,"{'a': 0.7, 'e': 0.9323938199059483}",25,0,-178.74411341485012,"{0: 10, 1: 4, 2: 9, 3: 0, 4: 2}",0
8,False,"{'a': 0.7, 'e': 0.9231163463866358}",25,0,-68.98039497291033,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.7, 'e': 0.9139311852712282}",20,0,-40.74732023465203,"{0: 11, 1: 7, 2: 2, 3: 0, 4: 0}",0
10,False,"{'a': 0.7, 'e': 0.9048374180359595}",25,0,-124.19773826696402,"{0: 18, 1: 2, 2: 1, 3: 2, 4: 2}",0
11,False,"{'a': 0.7, 'e': 0.8958341352965282}",30,0,-136.70641401375872,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
12,False,"{'a': 0.7, 'e': 0.8869204367171575}",30,0,-182.8780193103437,"{0: 15, 1: 4, 2: 8, 3: 1, 4: 2}",0
13,False,"{'a': 0.7, 'e': 0.8780954309205613}",20,0,-55.91413030230423,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
14,False,"{'a': 0.7, 'e': 0.8693582353988059}",20,0,-113.66455241148262,"{0: 12, 1: 2, 2: 2, 3: 3, 4: 1}",0
15,False,"{'a': 0.7, 'e': 0.8607079764250578}",25,0,-83.50768255878867,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
