trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.35649636141295,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",1
2,False,"{'a': 0.5, 'e': 1.0}",35,0,-257.9274184324288,"{0: 19, 1: 0, 2: 12, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,10,-98.59136966310466,"{0: 9, 1: 0, 2: 3, 3: 2, 4: 1}",1
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-204.5737721255088,"{0: 12, 1: 0, 2: 10, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.346023199044375,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-274.6841449885072,"{0: 19, 1: 0, 2: 3, 3: 3, 4: 5}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-156.7349135017273,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-254.97523692360593,"{0: 17, 1: 0, 2: 7, 3: 2, 4: 4}",0
9,False,"{'a': 0.5, 'e': 1.0}",35,0,-249.5517368299858,"{0: 19, 1: 0, 2: 11, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-146.50036874961273,"{0: 15, 1: 0, 2: 6, 3: 3, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-148.3728365547845,"{0: 20, 1: 0, 2: 7, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,3,-85.57856391568878,"{0: 15, 1: 0, 2: 6, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.50720278773096,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
